customer_id,account_age_days,prior_successful_txns,prior_chargebacks,known_device_count
CUST_00000,913,21,0,2
CUST_00001,887,13,0,1
CUST_00002,906,21,0,4
CUST_00003,106,3,0,3
CUST_00004,32,0,0,3
CUST_00005,552,9,0,1
CUST_00006,535,13,0,4
CUST_00007,1187,24,0,1
CUST_00008,30,2,0,2
CUST_00009,397,7,0,2
CUST_00010,26,1,0,4
CUST_00011,413,6,0,2
CUST_00012,657,7,0,1
CUST_00013,147,1,0,2
CUST_00014,468,12,0,2
CUST_00015,58,1,0,1
CUST_00016,34,2,0,1
CUST_00017,119,1,0,1
CUST_00018,342,6,0,2
CUST_00019,156,3,0,2
CUST_00020,474,13,0,2
CUST_00021,84,1,0,3
CUST_00022,698,16,0,1
CUST_00023,466,14,0,4
CUST_00024,249,5,0,4
CUST_00025,158,3,0,1
CUST_00026,172,6,0,2
CUST_00027,29,1,0,1
CUST_00028,68,3,0,2
CUST_00029,260,6,0,2
CUST_00030,147,2,0,1
CUST_00031,480,17,0,1
CUST_00032,269,9,0,2
CUST_00033,90,1,0,3
CUST_00034,175,8,0,2
CUST_00035,243,3,0,4
CUST_00036,130,5,0,2
CUST_00037,122,2,0,4
CUST_00038,333,13,0,1
CUST_00039,112,2,0,3
CUST_00040,506,12,0,4
CUST_00041,528,15,0,1
CUST_00042,411,10,0,4
CUST_00043,27,2,0,2
CUST_00044,430,5,0,2
CUST_00045,514,13,0,3
CUST_00046,426,4,0,3
CUST_00047,106,1,0,1
CUST_00048,121,5,0,4
CUST_00049,62,0,0,3
CUST_00050,134,2,0,4
CUST_00051,8,0,0,2
CUST_00052,63,1,0,3
CUST_00053,499,14,0,2
CUST_00054,1518,30,0,4
CUST_00055,214,4,0,4
CUST_00056,107,3,0,4
CUST_00057,151,5,0,3
CUST_00058,137,2,0,4
CUST_00059,49,2,0,2
CUST_00060,411,7,0,2
CUST_00061,522,9,2,4
CUST_00062,572,14,0,1
CUST_00063,2017,43,0,3
CUST_00064,800,14,0,1
CUST_00065,625,12,0,3
CUST_00066,396,13,0,2
CUST_00067,225,10,0,2
CUST_00068,16,0,0,2
CUST_00069,363,5,1,2
CUST_00070,236,4,0,2
CUST_00071,573,8,0,2
CUST_00072,770,11,2,3
CUST_00073,126,6,0,4
CUST_00074,18,0,0,3
CUST_00075,351,3,0,3
CUST_00076,970,16,0,4
CUST_00077,312,5,0,4
CUST_00078,809,8,0,1
CUST_00079,286,5,0,3
CUST_00080,499,15,0,1
CUST_00081,109,3,0,1
CUST_00082,51,1,0,4
CUST_00083,54,1,0,1
CUST_00084,44,1,0,4
CUST_00085,20,1,0,4
CUST_00086,652,21,0,4
CUST_00087,170,4,0,3
CUST_00088,146,4,0,4
CUST_00089,355,5,0,1
CUST_00090,71,0,0,4
CUST_00091,728,13,0,1
CUST_00092,490,12,0,2
CUST_00093,125,6,0,1
CUST_00094,76,2,0,2
CUST_00095,201,7,0,3
CUST_00096,115,0,0,2
CUST_00097,28,1,0,4
CUST_00098,191,5,0,3
CUST_00099,855,20,0,3
CUST_00100,383,5,0,4
CUST_00101,1171,29,0,2
CUST_00102,777,20,0,2
CUST_00103,424,4,0,4
CUST_00104,703,16,0,3
CUST_00105,276,4,0,3
CUST_00106,405,9,0,2
CUST_00107,144,5,0,1
CUST_00108,83,0,0,1
CUST_00109,815,21,0,1
CUST_00110,53,2,0,1
CUST_00111,71,0,0,3
CUST_00112,117,1,0,1
CUST_00113,367,5,0,3
CUST_00114,157,5,0,4
CUST_00115,260,8,0,4
CUST_00116,820,15,0,2
CUST_00117,585,16,0,1
CUST_00118,445,14,0,4
CUST_00119,64,1,0,1
CUST_00120,451,4,0,3
CUST_00121,172,2,0,3
CUST_00122,47,0,0,1
CUST_00123,151,1,0,3
CUST_00124,26,1,0,1
CUST_00125,347,3,0,1
CUST_00126,369,2,0,4
CUST_00127,111,2,0,4
CUST_00128,17,0,0,2
CUST_00129,1037,19,0,4
CUST_00130,306,6,0,4
CUST_00131,565,12,0,4
CUST_00132,134,1,0,1
CUST_00133,637,15,0,2
CUST_00134,623,15,0,3
CUST_00135,35,1,0,4
CUST_00136,2064,54,0,4
CUST_00137,255,8,0,2
CUST_00138,531,15,0,1
CUST_00139,92,2,0,4
CUST_00140,373,4,0,2
