transaction_id,customer_id,amount_inr,payment_method,hour_of_day,velocity_1h,velocity_24h,new_device,geo_mismatch,billing_shipping_mismatch,failed_attempts_prior,account_age_days,prior_successful_txns,prior_chargebacks,known_device_count,is_fraud
TXN_000070,CUST_00139,3394.87,card,21,1,2,False,False,False,0,92,2,0,4,0
TXN_000827,CUST_00059,1215.84,upi,8,0,1,False,False,False,0,49,2,0,2,0
TXN_000231,CUST_00020,1186.0,wallet,15,0,0,False,False,False,0,474,13,0,2,0
TXN_000588,CUST_00036,5922.7,card,15,0,1,False,False,False,1,130,5,0,2,0
TXN_000039,CUST_00051,2026.43,card,13,0,0,False,False,False,0,8,0,0,2,0
TXN_000731,CUST_00099,2578.03,card,0,2,4,False,False,False,0,855,20,0,3,0
TXN_000299,CUST_00065,4508.6,netbanking,19,0,1,False,False,False,1,625,12,0,3,0
TXN_000110,CUST_00079,1566.39,card,22,0,2,False,False,False,0,286,5,0,3,0
TXN_000072,CUST_00095,1660.96,card,0,2,2,True,False,False,0,201,7,0,3,0
TXN_000086,CUST_00216,1186.74,upi,6,1,2,False,False,False,0,96,1,0,1,0
TXN_000139,CUST_00136,571.94,upi,20,0,0,False,False,False,0,2064,54,0,4,0
TXN_000533,CUST_00033,347.54,upi,6,2,3,False,False,False,0,90,1,0,3,0
TXN_000801,CUST_00033,975.4,card,22,0,0,False,False,False,0,90,1,0,3,0
TXN_000120,CUST_00138,2148.1,upi,22,3,8,True,False,False,2,531,15,0,1,0
TXN_000711,CUST_00146,453.85,card,17,1,2,False,False,False,0,286,6,1,2,0
TXN_000590,CUST_00018,3685.91,upi,17,1,2,True,False,False,0,342,6,0,2,0
TXN_000168,CUST_00080,733.15,upi,0,0,2,False,False,False,0,499,15,0,1,0
TXN_000422,CUST_00153,459.8,upi,4,0,1,True,False,False,0,1293,27,0,3,0
TXN_000447,CUST_00098,1476.41,netbanking,19,1,3,False,False,False,0,191,5,0,3,0
TXN_000067,CUST_00184,1200.87,card,6,0,2,False,False,False,0,251,5,0,1,0
TXN_000211,CUST_00182,1948.7,card,22,0,0,False,False,False,0,856,17,0,2,0
TXN_000741,CUST_00138,2563.42,upi,23,2,4,True,False,False,0,531,15,0,1,0
TXN_000688,CUST_00192,497.18,card,0,1,4,False,True,False,0,217,4,0,4,0
TXN_000333,CUST_00186,1668.28,card,16,0,1,False,False,False,0,533,5,0,1,0
TXN_000542,CUST_00215,8243.72,card,7,0,0,False,False,False,0,126,4,0,1,0
TXN_000344,CUST_00162,1327.83,upi,23,1,2,False,False,False,0,373,8,0,1,0
TXN_000030,CUST_00036,3537.91,card,4,1,3,False,True,False,0,130,5,0,2,0
TXN_000837,CUST_00113,8798.11,card,12,0,0,False,False,False,0,367,5,0,3,0
TXN_000658,CUST_00133,1546.59,card,5,1,4,False,False,False,0,637,15,0,2,0
TXN_000522,CUST_00141,619.17,upi,8,1,3,False,False,False,0,108,0,0,2,0
TXN_000260,CUST_00158,2430.81,card,6,3,6,False,True,False,3,926,16,0,4,1
TXN_000756,CUST_00172,6642.75,upi,5,1,2,True,False,False,0,211,8,0,3,0
TXN_000298,CUST_00055,914.34,wallet,3,0,2,False,False,False,0,214,4,0,4,0
TXN_000531,CUST_00123,1486.59,upi,10,1,1,False,False,True,0,151,1,0,3,1
TXN_000615,CUST_00218,2805.67,upi,12,2,3,False,False,False,0,246,5,0,1,0
TXN_000675,CUST_00208,3639.64,card,2,0,0,True,False,False,0,386,8,0,3,0
TXN_000023,CUST_00007,2150.0,card,19,0,2,False,False,False,0,1187,24,0,1,0
TXN_000589,CUST_00093,5039.55,card,19,1,1,True,False,False,0,125,6,0,1,0
TXN_000431,CUST_00118,1375.49,card,3,1,3,False,False,False,0,445,14,0,4,0
TXN_000209,CUST_00199,2151.12,card,7,0,0,False,False,False,0,785,20,0,1,0
TXN_000063,CUST_00118,3301.05,netbanking,20,0,0,False,False,False,0,445,14,0,4,0
TXN_000239,CUST_00016,1676.27,card,13,0,0,False,False,False,0,34,2,0,1,0
TXN_000370,CUST_00132,406.94,upi,0,1,2,False,False,False,0,134,1,0,1,1
TXN_000744,CUST_00073,2670.64,netbanking,18,0,1,False,False,False,0,126,6,0,4,0
TXN_000652,CUST_00218,2400.69,card,14,0,2,False,False,False,0,246,5,0,1,0
TXN_000625,CUST_00138,1215.04,card,12,0,2,False,False,False,0,531,15,0,1,0
TXN_000215,CUST_00130,1750.73,upi,9,0,1,False,False,False,0,306,6,0,4,0
TXN_000519,CUST_00016,1703.25,netbanking,12,0,1,False,False,False,0,34,2,0,1,0
TXN_000494,CUST_00025,1402.51,card,2,0,0,False,True,False,0,158,3,0,1,0
TXN_000832,CUST_00123,1146.27,upi,13,0,2,False,False,False,0,151,1,0,3,0
TXN_000453,CUST_00203,1439.03,upi,23,0,1,False,False,False,0,166,3,0,1,0
TXN_000352,CUST_00224,13156.31,card,0,0,1,False,False,False,0,13,0,0,4,0
TXN_000549,CUST_00107,9469.3,upi,11,0,0,False,False,False,0,144,5,0,1,0
TXN_000280,CUST_00145,3123.82,card,5,0,1,False,False,False,0,200,2,0,1,0
TXN_000247,CUST_00174,1456.05,card,5,1,2,True,False,False,0,115,2,0,4,0
TXN_000213,CUST_00078,925.09,card,14,0,1,False,False,False,1,809,8,0,1,0
TXN_000137,CUST_00075,1218.72,card,13,1,3,False,False,False,0,351,3,0,3,0
TXN_000396,CUST_00043,9510.11,upi,0,0,0,False,False,False,1,27,2,0,2,0
TXN_000302,CUST_00064,1887.38,upi,22,0,2,False,False,False,0,800,14,0,1,0
TXN_000543,CUST_00214,4025.98,card,0,2,4,False,False,False,1,136,6,0,2,0
TXN_000044,CUST_00121,2755.62,card,5,0,2,True,False,False,0,172,2,0,3,0
TXN_000390,CUST_00023,3084.09,upi,13,0,1,False,False,False,0,466,14,0,4,0
TXN_000739,CUST_00007,1840.76,card,9,3,4,False,False,False,0,1187,24,0,1,1
TXN_000448,CUST_00054,4420.88,card,15,3,7,True,False,True,1,1518,30,0,4,1
TXN_000208,CUST_00003,1738.87,card,1,0,1,False,False,False,0,106,3,0,3,0
TXN_000198,CUST_00208,2338.15,card,16,1,2,True,False,False,1,386,8,0,3,0
TXN_000668,CUST_00044,1339.2,card,16,0,1,True,False,True,0,430,5,0,2,1
TXN_000516,CUST_00151,328.93,netbanking,6,1,3,False,True,False,0,953,20,0,4,0
TXN_000328,CUST_00187,2877.88,upi,2,0,2,False,False,True,0,321,7,0,3,0
TXN_000449,CUST_00221,6165.71,card,9,1,3,False,False,False,1,438,7,2,1,0
TXN_000626,CUST_00108,1612.86,card,3,0,1,False,False,False,1,83,0,0,1,0
TXN_000583,CUST_00009,1751.32,upi,10,0,1,True,False,False,0,397,7,0,2,0
TXN_000826,CUST_00221,2114.13,card,12,0,2,False,False,False,0,438,7,2,1,0
TXN_000314,CUST_00125,458.14,netbanking,22,0,1,False,False,False,0,347,3,0,1,0
TXN_000136,CUST_00046,866.5,card,16,2,4,False,False,False,0,426,4,0,3,0
TXN_000843,CUST_00113,2490.85,card,7,0,2,False,False,False,0,367,5,0,3,0
TXN_000361,CUST_00207,3168.56,card,6,1,3,False,False,False,0,260,7,0,4,0
TXN_000493,CUST_00071,947.11,card,1,1,1,False,False,False,0,573,8,0,2,0
